2026-09-13 00:24:11,154 | INFO | app.rag.ingest_raw | Processing raw PDF: ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf (364.5 MB)
2026-09-13 00:24:11,155 | INFO | app.rag.ingest_raw |   rendering + embedding each page...
2026-09-13 00:26:24,469 | INFO | app.rag.image_loader | Rendered 692 page image(s) from 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf' at 120 DPI.
2026-09-13 00:26:30,154 | INFO | app.rag.image_embeddings | Loading CLIP image tower 'clip-ViT-B-32' and multilingual text tower 'clip-ViT-B-32-multilingual-v1'.
2026-09-13 00:26:33,714 | INFO | app.rag.vector_store | Document 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf' was deleted from the vector store for user 1.
2026-09-13 00:26:40,837 | INFO | app.rag.vector_store | 30 chunks from document 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf' were stored for user 1.
2026-09-13 00:26:40,839 | INFO | app.rag.pipeline |   'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf': embedded pages 1-30 of 692.
2026-09-13 00:26:42,269 | INFO | app.rag.embeddings | Loading Ollama embedding model: nomic-embed-text
2026-09-13 00:26:42,312 | INFO | app.rag.llm | Using OllamaLLMClient with base_url=http://127.0.0.1:11434, model=aya-expanse:8b-q4_K_S
2026-09-13 00:26:45,392 | INFO | app.rag.vector_store | 30 chunks from document 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf' were stored for user 1.
2026-09-13 00:26:45,392 | INFO | app.rag.pipeline |   'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf': embedded pages 31-60 of 692.
2026-09-13 00:26:45,934 | INFO | app.rag.pipeline | Original Query: 'چه کتاب هاییو الان بلدی؟' -> Rewritten Query: 'کدام کتاب‌ها را برای مطالعه در حال حاضر توصیه می‌کنید و چرا؟'
2026-09-13 00:26:47,263 | INFO | app.rag.pipeline | Image retrieval: 10 candidate(s), 0 relevant page(s), threshold=0.350 for user 1.
2026-09-13 00:26:47,263 | INFO | app.rag.pipeline | 0 text chunk(s) and 0 page image(s) retrieved for user 1.
2026-09-13 00:26:48,145 | INFO | app.rag.pipeline | Original Query: 'چه کتاب هاییو الان بلدی؟' -> Rewritten Query: 'کدام کتاب‌ها را برای مطالعه در حال حاضر توصیه می‌کنید و چرا؟'
2026-09-13 00:26:48,371 | INFO | app.rag.pipeline | Image retrieval: 10 candidate(s), 0 relevant page(s), threshold=0.350 for user 1.
2026-09-13 00:26:48,371 | INFO | app.rag.pipeline | 0 text chunk(s) and 0 page image(s) retrieved for user 1.
2026-09-13 00:26:49,980 | INFO | app.rag.vector_store | 30 chunks from document 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf' were stored for user 1.
2026-09-13 00:26:49,984 | INFO | app.rag.pipeline |   'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf': embedded pages 61-90 of 692.
2026-09-13 00:26:54,259 | INFO | app.rag.vector_store | 30 chunks from document 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf' were stored for user 1.
2026-09-13 00:26:54,268 | INFO | app.rag.pipeline |   'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf': embedded pages 91-120 of 692.
2026-09-13 00:26:58,135 | INFO | app.rag.vector_store | 30 chunks from document 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf' were stored for user 1.
2026-09-13 00:26:58,137 | INFO | app.rag.pipeline |   'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf': embedded pages 121-150 of 692.
2026-09-13 00:27:02,282 | INFO | app.rag.vector_store | 30 chunks from document 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf' were stored for user 1.
2026-09-13 00:27:02,282 | INFO | app.rag.pipeline |   'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf': embedded pages 151-180 of 692.
2026-09-13 00:27:05,907 | INFO | app.rag.vector_store | 30 chunks from document 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf' were stored for user 1.
2026-09-13 00:27:05,915 | INFO | app.rag.pipeline |   'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf': embedded pages 181-210 of 692.
2026-09-13 00:27:10,137 | INFO | app.rag.vector_store | 30 chunks from document 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf' were stored for user 1.
2026-09-13 00:27:10,137 | INFO | app.rag.pipeline |   'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf': embedded pages 211-240 of 692.
2026-09-13 00:27:13,237 | INFO | app.rag.vector_store | 30 chunks from document 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf' were stored for user 1.
2026-09-13 00:27:13,243 | INFO | app.rag.pipeline |   'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf': embedded pages 241-270 of 692.
2026-09-13 00:27:17,397 | INFO | app.rag.vector_store | 30 chunks from document 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf' were stored for user 1.
2026-09-13 00:27:17,397 | INFO | app.rag.pipeline |   'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf': embedded pages 271-300 of 692.
2026-09-13 00:27:20,511 | INFO | app.rag.vector_store | 30 chunks from document 'ریاضی_تجربی_جامع_نشرالگو_+_موج_آزمون_جلد_اول_1402.pdf' were stored for user 1.
